Time,device_frmpayload_data_rainfall
2023-12-16 13:29:37,0 mm
2023-12-16 13:32:37,0 mm
2023-12-16 13:35:37,0 mm
2023-12-16 13:38:37,0 mm
2023-12-16 13:41:37,0 mm
2023-12-16 13:44:37,0 mm
2023-12-16 13:47:37,0 mm
2023-12-16 13:50:37,0 mm
2023-12-16 13:53:37,0 mm
2023-12-16 13:56:37,0 mm
2023-12-16 13:59:37,0 mm
2023-12-17 03:02:35,0 mm
2023-12-17 03:05:35,200 µm
2023-12-17 03:08:35,0 mm
2023-12-17 03:11:35,0 mm
2023-12-17 03:14:35,0 mm
2023-12-17 03:17:35,0 mm
2023-12-17 03:20:35,0 mm
2023-12-17 03:23:35,0 mm
2023-12-17 03:26:35,200 µm
2023-12-17 03:32:35,200 µm
2023-12-17 03:38:35,200 µm
2023-12-17 03:41:35,200 µm
2023-12-17 03:53:35,200 µm
2023-12-17 04:02:35,200 µm
2023-12-17 04:08:35,200 µm
2023-12-17 04:17:35,200 µm
2023-12-17 04:29:35,200 µm
2023-12-17 04:32:35,200 µm
2023-12-17 04:38:35,200 µm
2023-12-17 04:44:35,200 µm
2023-12-17 04:47:35,200 µm
2023-12-17 04:50:35,200 µm
2023-12-17 04:56:35,200 µm
2023-12-17 04:59:35,200 µm
2023-12-17 05:02:35,0 mm
2023-12-17 05:05:35,0 mm
2023-12-17 05:08:35,0 mm
2023-12-17 05:11:35,0 mm
2023-12-17 05:14:35,0 mm
2023-12-17 05:23:35,0 mm
2023-12-17 05:26:35,200 µm
2023-12-17 05:35:35,200 µm
2023-12-17 05:41:35,200 µm
2023-12-17 05:44:35,200 µm
2023-12-17 05:47:35,200 µm
2023-12-17 05:50:35,200 µm
2023-12-17 05:56:35,200 µm
2023-12-17 05:59:35,200 µm
2023-12-17 06:02:35,200 µm
2023-12-17 06:05:35,200 µm
2023-12-17 06:08:35,200 µm
2023-12-17 06:11:35,200 µm
2023-12-17 06:14:35,400 µm
2023-12-17 06:17:35,200 µm
2023-12-17 06:20:35,200 µm
2023-12-17 06:23:35,200 µm
2023-12-17 06:26:35,200 µm
2023-12-17 06:29:35,200 µm
2023-12-17 06:32:35,200 µm
2023-12-17 06:35:35,200 µm
2023-12-17 06:38:35,200 µm
2023-12-17 06:41:35,200 µm
2023-12-17 06:44:35,600 µm
2023-12-17 06:47:35,400 µm
2023-12-17 06:50:35,400 µm
2023-12-17 06:53:35,200 µm
2023-12-17 06:56:35,200 µm
2023-12-17 06:59:35,400 µm
2023-12-17 07:02:35,200 µm
2023-12-17 07:05:35,200 µm
2023-12-17 07:08:35,400 µm
2023-12-17 07:11:35,200 µm
2023-12-17 07:14:35,400 µm
2023-12-17 07:17:35,200 µm
2023-12-17 07:20:35,200 µm
2023-12-17 07:23:35,400 µm
2023-12-17 07:26:35,400 µm
2023-12-17 07:29:35,200 µm
2023-12-17 07:32:35,200 µm
2023-12-17 07:35:35,200 µm
2023-12-17 07:38:35,200 µm
2023-12-17 07:41:35,200 µm
2023-12-17 07:44:35,200 µm
2023-12-17 07:47:35,200 µm
2023-12-17 07:50:35,200 µm
2023-12-17 07:53:35,400 µm
2023-12-17 07:56:35,200 µm
2023-12-17 07:59:35,200 µm
2023-12-17 08:02:35,200 µm
2023-12-17 08:05:35,400 µm
2023-12-17 08:08:35,200 µm
2023-12-17 08:11:35,400 µm
2023-12-17 08:14:35,400 µm
2023-12-17 08:17:35,400 µm
2023-12-17 08:20:35,200 µm
2023-12-17 08:23:35,400 µm
2023-12-17 08:26:35,400 µm
2023-12-17 08:29:35,200 µm
2023-12-17 08:32:35,200 µm
2023-12-17 08:38:35,200 µm
2023-12-17 08:41:35,200 µm
2023-12-17 08:44:35,200 µm
2023-12-17 08:47:35,400 µm
2023-12-17 08:50:35,400 µm
2023-12-17 08:53:35,400 µm
2023-12-17 08:56:35,400 µm
2023-12-17 08:59:35,200 µm
2023-12-17 09:02:35,400 µm
2023-12-17 09:05:35,400 µm
2023-12-17 09:08:35,400 µm
2023-12-17 09:11:35,400 µm
2023-12-17 09:14:35,600 µm
2023-12-17 09:17:35,400 µm
2023-12-17 09:20:35,400 µm
2023-12-17 09:23:35,400 µm
2023-12-17 09:26:35,400 µm
2023-12-17 09:29:35,400 µm
2023-12-17 09:32:35,200 µm
2023-12-17 09:35:35,400 µm
2023-12-17 09:38:35,400 µm
2023-12-17 09:41:35,400 µm
2023-12-17 09:44:35,200 µm
2023-12-17 09:47:35,400 µm
2023-12-17 09:50:35,400 µm
2023-12-17 09:53:35,400 µm
2023-12-17 09:56:35,400 µm
2023-12-17 09:59:35,400 µm
2023-12-17 10:02:35,400 µm
2023-12-17 10:05:35,600 µm
2023-12-17 10:08:35,400 µm
2023-12-17 10:11:35,600 µm
2023-12-17 10:14:35,400 µm
2023-12-17 10:17:35,600 µm
2023-12-17 10:20:35,400 µm
2023-12-17 10:23:35,400 µm
2023-12-17 10:26:35,400 µm
2023-12-17 10:29:35,400 µm
2023-12-17 10:32:35,400 µm
2023-12-17 10:35:35,400 µm
2023-12-17 10:38:35,400 µm
2023-12-17 10:41:35,600 µm
2023-12-17 10:44:35,600 µm
2023-12-17 10:47:35,800 µm
2023-12-17 10:50:35,600 µm
2023-12-17 10:53:35,800 µm
2023-12-17 10:56:35,600 µm
2023-12-17 10:59:35,200 µm
2023-12-17 11:02:35,200 µm
2023-12-17 11:05:35,400 µm
2023-12-17 11:08:35,400 µm
2023-12-17 11:11:35,400 µm
2023-12-17 11:14:35,400 µm
2023-12-17 11:17:35,200 µm
2023-12-17 11:20:35,400 µm
2023-12-17 11:23:35,400 µm
2023-12-17 11:26:35,400 µm
2023-12-17 11:29:35,400 µm
2023-12-17 11:32:35,400 µm
2023-12-17 11:35:35,400 µm
2023-12-17 11:38:35,400 µm
2023-12-17 11:41:35,600 µm
2023-12-17 11:44:35,200 µm
2023-12-17 11:47:35,200 µm
2023-12-17 11:50:35,200 µm
2023-12-17 11:53:35,400 µm
2023-12-17 11:56:35,200 µm
2023-12-17 11:59:35,400 µm
2023-12-17 12:02:35,400 µm
2023-12-17 12:05:35,400 µm
2023-12-17 12:08:35,600 µm
2023-12-17 12:11:35,400 µm
2023-12-17 12:14:35,400 µm
2023-12-17 12:17:35,200 µm
2023-12-17 12:20:35,200 µm
2023-12-17 12:23:35,600 µm
2023-12-17 12:26:35,400 µm
2023-12-17 12:29:35,400 µm
2023-12-17 12:32:35,600 µm
2023-12-17 12:35:35,800 µm
2023-12-17 12:38:35,600 µm
2023-12-17 12:41:35,400 µm
2023-12-17 12:44:35,400 µm
2023-12-17 12:47:35,400 µm
2023-12-17 12:50:35,400 µm
2023-12-17 12:53:35,400 µm
2023-12-17 12:56:35,200 µm
2023-12-17 12:59:35,400 µm
2023-12-17 13:02:35,400 µm
2023-12-17 13:05:35,400 µm
2023-12-17 13:08:35,200 µm
2023-12-17 13:11:35,200 µm
2023-12-17 13:17:34,200 µm
2023-12-17 13:26:34,0 mm
2023-12-17 13:29:34,0 mm
2023-12-17 13:32:34,0 mm
